Date,Up 4-5%+ today,Down 4-5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
7th Apr 26 2026,131,9,64,4,1093,1051,528,1616,423,1721
6th Apr 26 2026,222,13,24,5,931,1217,458,1690,409,1739
2nd Apr 26 2026,178,24,18,6,637,1511,369,1779,373,1775
1st Apr 26 2026,1144,9,11,6,481,1667,332,1816,381,1767
30th Mar 26 2026,31,746,6,39,195,1954,206,1943,310,1839
27th Mar 26 2026,33,642,8,12,287,1861,248,1900,360,1788
25th Mar 26 2026,217,18,6,6,483,1665,328,1820,393,1755
24th Mar 26 2026,293,27,7,8,271,1877,245,1903,350,1798
23rd Mar 26 2026,6,975,5,4,145,2004,167,1982,298,1851
20th Mar 26 2026,101,26,14,4,371,1777,322,1826,396,1752
19th Mar 26 2026,17,304,6,2,266,1882,250,1898,377,1771
18th Mar 26 2026,323,8,7,2,502,1646,393,1755,450,1698
17th Mar 26 2026,99,17,6,7,260,1888,303,1845,407,1741
16th Mar 26 2026,40,122,5,5,192,1957,255,1894,379,1770
13th Mar 26 2026,19,381,9,6,215,1933,295,1853,384,1764
12th Mar 26 2026,59,48,11,5,434,1714,420,1728,448,1700
11th Mar 26 2026,76,53,11,4,440,1709,430,1719,468,1681
10th Mar 26 2026,282,15,11,4,449,1699,441,1708,478,1671
9th Mar 26 2026,28,285,6,12,274,1874,335,1814,416,1733
6th Mar 26 2026,60,39,4,7,393,1755,453,1696,502,1647
5th Mar 26 2026,115,18,9,2,404,1744,471,1678,512,1637
4th Mar 26 2026,48,264,8,3,293,1855,404,1745,469,1680
2nd Mar 26 2026,61,265,6,4,445,1703,493,1656,563,1586
27th Feb 26 2026,44,59,8,1,692,1455,689,1459,669,1479
26th Feb 26 2026,68,20,9,5,834,1313,762,1386,705,1443
25th Feb 26 2026,56,44,5,4,788,1359,744,1404,698,1450
24th Feb 26 2026,25,95,9,3,701,1446,676,1472,686,1462
23rd Feb 26 2026,63,47,6,2,860,1288,786,1363,718,1431
20th Feb 26 2026,50,30,9,5,834,1313,774,1374,709,1439
19th Feb 26 2026,36,52,9,5,803,1344,758,1390,706,1442
18th Feb 26 2026,70,16,6,5,1095,1052,930,1218,774,1374
17th Feb 26 2026,111,18,8,3,1035,1112,869,1279,751,1397
16th Feb 26 2026,52,106,12,4,928,1220,781,1368,729,1420
13th Feb 26 2026,35,166,21,1,966,1181,794,1354,725,1423
12th Feb 26 2026,62,104,27,1,1315,832,1028,1120,792,1355
11th Feb 26 2026,93,65,15,2,1497,650,1122,1026,820,1328
10th Feb 26 2026,139,38,32,1,1576,570,1151,996,819,1328
9th Feb 26 2026,391,18,52,1,1518,630,1072,1077,806,1343
6th Feb 26 2026,59,75,29,3,1127,1020,774,1374,686,1462
5th Feb 26 2026,57,91,34,6,1162,985,780,1368,693,1455
4th Feb 26 2026,242,55,45,18,1349,798,845,1303,726,1422
3rd Feb 26 2026,529,12,28,18,1141,1007,748,1400,705,1443
2nd Feb 26 2026,77,76,16,19,452,1697,371,1778,533,1616
1st Feb 26 2026,59,238,8,4,436,1712,359,1789,494,1654
30th Jan 26 2026,171,98,14,6,670,1476,496,1650,603,1543
29th Jan 26 2026,141,62,24,5,534,1612,432,1714,571,1575
28th Jan 26 2026,350,20,12,6,538,1607,424,1721,558,1587
27th Jan 26 2026,100,74,4,10,308,1840,322,1826,485,1663
23rd Jan 26 2026,55,211,2,6,273,1872,295,1850,478,1667
22nd Jan 26 2026,183,55,3,4,364,1781,372,1773,547,1598
21st Jan 26 2026,58,148,21,2,231,1913,291,1853,488,1656
20th Jan 26 2026,30,377,25,1,255,1888,317,1826,523,1620
19th Jan 26 2026,43,90,29,2,450,1695,475,1670,625,1520
16th Jan 26 2026,72,31,27,2,535,1606,534,1607,673,1468
14th Jan 26 2026,83,21,7,1,523,1617,553,1587,687,1453
13th Jan 26 2026,71,17,5,1,485,1655,523,1617,675,1465
12th Jan 26 2026,61,74,6,3,424,1719,503,1640,667,1476
9th Jan 26 2026,17,105,4,3,428,1710,536,1602,685,1453
8th Jan 26 2026,15,140,7,3,667,1472,699,1440,770,1369
7th Jan 26 2026,68,18,14,3,1062,1077,915,1224,858,1281
6th Jan 26 2026,45,27,16,1,1025,1113,878,1260,842,1296
