0: Date: 1st Jan, Values={'ma10': 884.8, 'ma20': 705.7, 'ma50': 785.48, 'ma200': 1008.69}
1: Date: 31st Dec, Values={'ma10': 830.1, 'ma20': 680.25, 'ma50': 783.58, 'ma200': 1005.56}
2: Date: 30th Dec, Values={'ma10': 788.9, 'ma20': 661.3, 'ma50': 780.16, 'ma200': 1002.71}
3: Date: 29th Dec, Values={'ma10': 786.4, 'ma20': 659.95, 'ma50': 783.9, 'ma200': 1002.58}
4: Date: 26th Dec, Values={'ma10': 782.0, 'ma20': 661.25, 'ma50': 786.02, 'ma200': 1001.835}
5: Date: 24th Dec, Values={'ma10': 741.3, 'ma20': 653.0, 'ma50': 781.42, 'ma200': 999.17}
6: Date: 23rd Dec, Values={'ma10': 673.4, 'ma20': 637.1, 'ma50': 777.44, 'ma200': 994.795}
7: Date: 22nd Dec, Values={'ma10': 603.8, 'ma20': 608.95, 'ma50': 775.32, 'ma200': 989.84}
8: Date: 19th Dec, Values={'ma10': 536.4, 'ma20': 584.9, 'ma50': 773.68, 'ma200': 985.455}
9: Date: 18th Dec, Values={'ma10': 521.4, 'ma20': 580.95, 'ma50': 776.36, 'ma200': 983.025}
10: Date: 17th Dec, Values={'ma10': 526.6, 'ma20': 594.9, 'ma50': 784.96, 'ma200': 981.895}
11: Date: 16th Dec, Values={'ma10': 530.4, 'ma20': 609.5, 'ma50': 793.88, 'ma200': 980.685}
12: Date: 15th Dec, Values={'ma10': 533.7, 'ma20': 617.75, 'ma50': 800.06, 'ma200': 979.16}
13: Date: 12th Dec, Values={'ma10': 533.5, 'ma20': 628.15, 'ma50': 799.38, 'ma200': 977.125}
14: Date: 11th Dec, Values={'ma10': 540.5, 'ma20': 637.55, 'ma50': 795.46, 'ma200': 974.89}
15: Date: 10th Dec, Values={'ma10': 564.7, 'ma20': 655.4, 'ma50': 794.54, 'ma200': 973.105}
16: Date: 9th Dec, Values={'ma10': 600.8, 'ma20': 680.7, 'ma50': 795.9, 'ma200': 971.965}
17: Date: 8th Dec, Values={'ma10': 614.1, 'ma20': 696.8, 'ma50': 802.6, 'ma200': 970.585}
18: Date: 5th Dec, Values={'ma10': 633.4, 'ma20': 718.2, 'ma50': 815.16, 'ma200': 970.17}
19: Date: 4th Dec, Values={'ma10': 640.5, 'ma20': 725.1, 'ma50': 826.84, 'ma200': 968.605}
20: Date: 3rd Dec, Values={'ma10': 663.2, 'ma20': 728.85, 'ma50': 840.72, 'ma200': 966.89}
21: Date: 2nd Dec, Values={'ma10': 688.6, 'ma20': 746.95, 'ma50': 858.42, 'ma200': 966.38}
22: Date: 1st Dec, Values={'ma10': 701.8, 'ma20': 770.05, 'ma50': 874.78, 'ma200': 966.845}
23: Date: 28th Nov, Values={'ma10': 722.8, 'ma20': 783.0, 'ma50': 889.82, 'ma200': 967.365}
24: Date: 27th Nov, Values={'ma10': 734.6, 'ma20': 801.95, 'ma50': 902.98, 'ma200': 967.82}
25: Date: 26th Nov, Values={'ma10': 746.1, 'ma20': 823.3, 'ma50': 914.72, 'ma200': 967.335}
26: Date: 25th Nov, Values={'ma10': 760.6, 'ma20': 836.7, 'ma50': 924.44, 'ma200': 965.915}
27: Date: 24th Nov, Values={'ma10': 779.5, 'ma20': 860.4, 'ma50': 938.12, 'ma200': 966.31}
28: Date: 21st Nov, Values={'ma10': 803.0, 'ma20': 884.25, 'ma50': 952.32, 'ma200': 966.59}
